Solution Name,Description,Job Levels,Languages,Assessment Length
Verify - Verbal Ability - Next Generation,"The Verbal Ability test measures the ability to read written passages and comprehend the text, interpret tone and author intent, identify main ideas, and predict author responses. Sample tasks for jobs that may require verbal ability include, but are not limited to: working with reports, correspondence, instructions, and research information. The Verbal Ability test, due to its adaptive nature, is appropriate for all job levels and roles","General Population, Graduate, Executive, Director, Entry-Level, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Front Line Manager","English (USA), English International",15
Verify - Working with Information,This test measures a candidate's ability to process information. Candidates are given information in different table formats and are asked to use the information provided to answer related questions,Entry-Level,"Greek, Arabic, Chinese Simplified, German, French, Italian, Dutch, English International, English (USA), Latin American Spanish",10
Verify G+ - Ability Test Report,"The SHL Verify G+ Ability Test Report provides the candidate's overall General Ability score alongside scores on Numerical, Deductive and Inductive Reasoning, using the comparison group selected by the user",N/A,N/A,N/A
Verify G+ - Candidate Report,"The SHL Verify G+ Ability Candidate Report provides the candidate with feedback on their Numerical, Deductive and Inductive Reasoning results. It does not include the overall score, as it is intended for feedback and developmental purposes. The report focuses on how the candidate can improve their abilities in each area (deductive, inductive, and numerical). Please note: language availability for the G+ Candidate Report is currently more limited than for the manger-facing G+ Ability Report",N/A,N/A,N/A
Verify Interactive Ability Report,Verify Interactive Ability Report,N/A,N/A,N/A
Verify Interactive G+ Candidate Report,Verify Interactive G+ Candidate Report,N/A,N/A,N/A
Verify Interactive G+ Report,Report for Verify Interactive G+,"Graduate, Manager, Mid-Professional, Professional Individual Contributor",N/A,N/A
Verify Interactive Process Monitoring,"The SHL Verify Range of Ability Tests is a suite of cognitive ability assessments appropriate for candidates at a wide range of job levels. The SHL Process Monitoring assessment is designed for candidates in a wide range of industries where following processes, ensuring vigilance and maintaining machinery are important aspects of the job role. It measures candidates' ability to respond in a timely manner to instrument feedback and monitor variations in a production process in order to maintain the process within specified safe control limits","Graduate, Manager, Mid-Professional, Professional Individual Contributor",English (USA),18
Virtual Assessment and Development Centers,"SHL’s innovative virtual assessment centers wow new hires or existing employees and show how you invest in your people. They are a highly engaging experience, inclusive and packed with predictive power to undercover potential.

SHL’s virtual assessment and development center platform is packaged with features to support your candidates, assessors and center administrators.

Deliver a full range of assessment center exercises, from inbox simulations and written analysis, through coaching and role-play with preparation materials and one to one live virtual interactions, to assigned or unassigned role group exercises. Exercises are available across a range of job levels and industry scenarios

Want to find out more or book a demo? Visit https://www.shl.com/en/solutions/virtual/virtual-assessment-development-center/Language Availabilityfor the candidate and assessor simulation interface is shown in the list below.Language Availabilityfor the live interactions interface (Smart Interview Live) is currently:  English US, Japanese, Simplified Chinese, Spanish, Portuguese, Brazilian Portuguese, French, Canadian French, Italian, Dutch, Latin American Spanish, Romanian, Indonesian, German, Greek","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English (USA), English International, Italian, German, Portuguese, Spanish, Latin American Spanish, French, French (Canada), Dutch, Japanese, Indonesian, Greek, Romanian, Chinese Simplified, Arabic",Approximate Completion Time in minutes = N/A
Visual Basic for Applications (New),"Multi-choice test that measures the knowledge of VBA programming constructs, forms, controls and VBA security","Mid-Professional, Professional Individual Contributor",English (USA),7
Visual Comparison - UK,This assessment measures ability to efficiently compare information and detect errors. The test taker is required to examine four pairs of numbers and select the set of numbers that are notidentical,Entry-Level,English International,5
Visual Comparison - US,This assessment measures ability to efficiently compare information and detect errors. The test taker is required to examine four pairs of numbers and select the set of numbers that are not identical,Entry-Level,English (USA),5
VLSI and Embedded Systems (New),Multi-choice test that measures the knowledge of VLSI and embedded systems basics,"Mid-Professional, Professional Individual Contributor",English (USA),9
What Is The Value - US,The What is the Value –US test measures money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis,Entry-Level,English (USA),5
Workplace Administration Skills (New),"Multi-choice test that measures the ability to organize one's workplace, properly maintain data, perform simple tasks on the computer and resolve administrative issues","Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),12
Workplace Health and Safety (New),"Multi-choice test that measures the knowledge of first aid, emergency safety measures, cleanliness and personal hygiene","Entry-Level, Graduate, Manager, Supervisor, Mid-Professional, Professional Individual Contributor",English (USA),9
WriteX - Email Writing (Customer Service) (New),"Open response test that evaluates the ability to write proper emails in English. The test provides scores on content, grammar and email etiquette.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),15
WriteX - Email Writing (Managerial) (New),"Open response test that evaluates the ability to write proper emails in English. The test provides scores on content, grammar and email etiquette.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),15
WriteX - Email Writing (Sales) (New),"Open response test that evaluates the ability to write proper emails in English. The test provides scores on content, grammar and email etiquette.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),15
Written English v1,"The Written English test measures knowledge of US English grammar and English reading comprehension. It is designed for those with English as a second language and covers the following topics: Articles, Comparisons, Conjunctions, General Questions, Misused Words, Nouns, Parallel Structure, Prepositions, Pronouns, Specific Questions, and Verbs","Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor","English (USA), English International",30
Written Spanish,"This test measures knowledge of Spanish grammar and Spanish reading comprehension skills. Designed primarily for individuals where Spanish is their second language, this test covers the following topics: Adjectives, Adverbs, Conjunctions, Nouns, Prepositions, Pronouns, Verbs, and Reading Comprehension","Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor",Latin American Spanish,22
Zabbix (New),"Multi-choice test that measures the knowledge of Zabbix architecture, data handling, monitoring and administration","Mid-Professional, Professional Individual Contributor",English (USA),9
360 Digital Report,"Introducing the new 360 Digital Report from SHL! Our latest offering revolutionizes the reporting experience for our 360 products, catering to the modern user's needs for enhanced usability and actionable insights. With a sleek, interactive interface, this report provides a exploration of feedback data, focusing on user development and comprehensive evaluation. Users can now enjoy a visually engaging experience, with the capability to download the report in PDF format for offline access. Upgrade your reporting experience today with SHL's innovative 360 Digital Report!","Director, Manager, Entry-Level, Executive, Front Line Manager, General Population, Graduate",N/A,N/A
360° Multi-Rater Feedback System (MFS),"SHL 360, or the Multi-Rater Feedback System (‘MFS’), provides a holistic 360-degree view of an employee by gathering feedback from the employee’s manager, peers, direct reports, and/or other raters.  By offering a wide range of perspectives, 360 feedback gives employees a more thorough understanding of not only their strengths, weaknesses, and development opportunities, but also their impact on others.  360-degree multi-rater assessments are based on SHL’s Universal Competency Framework (“UCF”), using our proven library of research-driven competencies to provide opportunities for managers, peers, and direct reports to supply useful developmental feedback that they may not otherwise share.  SHL can also offer support and training throughout the entire process, from defining objectives through interpreting and delivering the feedback.  360 feedback serves all levels and industries and is a positive and powerful addition to your performance management system","Director, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor","Latin American Spanish, Romanian, French (Canada), Czech, Hungarian, Indonesian, Turkish, Serbian, Portuguese (Brazil), Chinese Traditional, Slovak, Thai, English International, Dutch, French, German, Italian, Portuguese, Spanish, Danish, Finnish, Norwegian, Swedish, English (USA), Russian, Chinese Simplified, Icelandic, Polish, Japanese, Korean",Approximate Completion Time in minutes = Untimed
